id_pedido,fecha,hora,cliente,producto,cantidad,precio_unitario,metodo_pago,ciudad,calificacion,notas
PED-0301,,,iDego Muñoz,Espresso,,17700.0,,,,caliente porfavor
PED-0302,,,Iasbella Díaz,,4.0,16800.0,Tarjeta,,5,extra caliente
PED-0303,,,Natalai García,Latte,2.0,,,Cartagena,3,para llevar
PED-0304,,02:08:00,Felipe Torres,,3.0,11400.0,transferencia,Cali,1,
PED-0305,,,Isaeblla López,Latte,3.0,13900.0,transferencia,,5,sin lactosa
PED-0306,,09:57:00,Deigo Jiménez,Latte,4.0,7500.0,tarjeta débito,Cali,1,doble shot
PED-0307,,,Soífa López,Frappé,2.0,6400.0,Tarjeta,BOGOTA,4,
PED-0308,,12:58:00,Isabella Jiménez,Latte,2.0,5600.0,Efectivo,Cali,1,sin lactosa
PED-0309,,,Davdi Sánchez,Frappé,2.0,9500.0,Efectivo,,1,sin lactosa
,,10:26:00,Felipe Ramírez,Cappuccino,,10700.0,,Cartagena,4,para llevar
PED-0311,,,Luara Herrera,Cold brew,2.0,,tarjeta débito,BOGOTA,,
PED-0312,,,eFlipe Torres,Espresso,2.0,4700.0,DaviPlata,BOGOTA,4,caliente porfavor
PED-0313,,07:24:00,Sfoía Herrera,Frappé,5.0,17900.0,,BOGOTA,2,
PED-0314,,15:07:00,Jogre Jiménez,Té verde,4.0,16600.0,Efectivo,Medellín,4,
PED-0315,,,Jroge Morales,Chocolate caliente,1.0,6300.0,Efectivo,Cartagena,,
PED-0316,,06:31:00,uLis Muñoz,Latte,,10200.0,tarjeta débito,,1,doble shot
PED-0317,,,Fleipe Torres,Espresso,5.0,13900.0,DaviPlata,Medellín,4,muy rico!
PED-0318,,,aDvid Díaz,Machiato,3.0,17300.0,DaviPlata,,5,caliente porfavor
PED-0319,,,Paual Gutiérrez,Americano,5.0,16100.0,,,4,
PED-0320,,06:50:00,Juna López,Frappé,2.0,15400.0,,Medellín,,sin azúcar
PED-0321,,,iDego Vargas,,,13800.0,transferencia,,,
PED-0322,,14:58:00,uLis Rodríguez,Té verde,1.0,12700.0,,Cartagena,5,sin lactosa
PED-0323,,13:24:00,,Latte,5.0,14300.0,DaviPlata,,2,sin lactosa
PED-0324,,01:03:00,Joreg García,,1.0,10900.0,Tarjeta,BOGOTA,4,para llevar
PED-0325,,16:28:00,,Machiato,,,,Barranquilla,,sin lactosa
,,07:14:00,Isablela López,Cold brew,5.0,8000.0,tarjeta débito,,2,para llevar
,,12:40:00,,,4.0,,Tarjeta,Medellín,,doble shot
PED-0328,,,,Mocha,4.0,8700.0,DaviPlata,Cali,2,extra caliente
PED-0329,,,Cralos Flores,Espresso,5.0,14300.0,Tarjeta,Cartagena,3,para llevar
PED-0330,,,Mariaan Rodríguez,Mocha,,12300.0,Efectivo,Barranquilla,3,
PED-0331,,08:22:00,Sbeastián López,Mocha,1.0,13200.0,tarjeta débito,,,extra caliente
PED-0332,,18:03:00,Luara Martínez,Latte,3.0,12700.0,,BOGOTA,1,sin azúcar
PED-0333,,19:30:00,Naatlia Ramos,,3.0,10600.0,Nequi,,4,
PED-0334,,,Isabelal Pérez,Cold brew,2.0,8800.0,DaviPlata,,3,sin azúcar
PED-0335,,11:29:00,Paual Díaz,Té verde,,16600.0,transferencia,BOGOTA,4,
PED-0336,,12:14:00,Andérs González,Latte,1.0,12800.0,,BOGOTA,5,extra caliente
PED-0337,,10:52:00,Davdi Ramírez,Frappé,3.0,13400.0,tarjeta débito,,4,sin azúcar
PED-0338,,,,,2.0,8800.0,,Cali,5,caliente porfavor
PED-0339,,09:07:00,Jogre Torres,Té verde,2.0,16600.0,Efectivo,,2,sin lactosa
PED-0340,,,,Cold brew,1.0,11100.0,Tarjeta,Medellín,3,
PED-0341,,08:22:00,Lauar Ortiz,Frappé,5.0,7400.0,DaviPlata,Medellín,1,
PED-0342,,,Lius Pérez,Latte,5.0,12400.0,tarjeta débito,Pereira,3,
PED-0343,,,sIabella Díaz,Cappuccino,1.0,8900.0,transferencia,BOGOTA,1,
PED-0344,,06:18:00,Carols Flores,,4.0,8800.0,Efectivo,,,doble shot
PED-0345,,,María Herrera,,4.0,8200.0,Efectivo,Pereira,5,
PED-0346,,,Natalai Muñoz,Cappuccino,3.0,,,Medellín,3,caliente porfavor
,,20:52:00,Andrsé Ortiz,Cold brew,,14800.0,,,2,
PED-0348,,09:47:00,Palua García,Espresso,2.0,9700.0,Tarjeta,BOGOTA,2,
PED-0349,,22:38:00,nAa González,Americano,2.0,10300.0,,BOGOTA,,sin lactosa
PED-0350,,,Valnetina Pérez,Machiato,4.0,5900.0,,Medellín,3,para llevar
PED-0351,,,oJrge González,Chocolate caliente,,17700.0,Efectivo,Medellín,5,
PED-0352,,,aLura Ramírez,Mocha,3.0,15700.0,DaviPlata,,5,caliente porfavor
PED-0353,,,Juna González,Chocolate caliente,1.0,16300.0,Efectivo,Medellín,4,muy rico!
PED-0354,,09:03:00,aCrlos Torres,Espresso,4.0,11600.0,Nequi,Medellín,2,
PED-0355,,,Anrdés Rodríguez,Americano,4.0,5600.0,transferencia,Cartagena,3,sin lactosa
PED-0356,,19:05:00,Soífa Rodríguez,Chocolate caliente,,11600.0,Efectivo,Barranquilla,3,sin lactosa
,,,nAa Ortiz,Cappuccino,4.0,16300.0,DaviPlata,Cali,5,extra caliente
PED-0358,,09:19:00,Soífa Gutiérrez,Mocha,1.0,12900.0,tarjeta débito,Medellín,5,extra caliente
PED-0359,,19:09:00,iDego Ramos,Americano,2.0,13900.0,,BOGOTA,3,caliente porfavor
,,10:17:00,iDego Vargas,Cold brew,4.0,17800.0,transferencia,BOGOTA,5,muy rico!
PED-0361,,11:46:00,uLis Gutiérrez,,3.0,,Efectivo,Medellín,5,extra caliente
PED-0362,,,Mraía Martínez,Té verde,1.0,9600.0,tarjeta débito,BOGOTA,2,
PED-0363,,08:08:00,Luara Martínez,Frappé,4.0,7300.0,transferencia,Medellín,3,muy rico!
PED-0364,,,Anrdés Martínez,Té verde,1.0,6600.0,Efectivo,BOGOTA,2,caliente porfavor
PED-0365,,,Valnetina García,Machiato,5.0,,tarjeta débito,Medellín,4,caliente porfavor
PED-0366,,,Natalia Castro,Cappuccino,4.0,13900.0,,Cartagena,,extra caliente
,,01:28:00,Isbaella Ramírez,Cappuccino,3.0,13300.0,,Barranquilla,,extra caliente
PED-0368,,20:07:00,Felipe Ramos,Machiato,4.0,7200.0,tarjeta débito,Barranquilla,2,muy rico!
PED-0369,,16:46:00,nAa Castro,Cappuccino,2.0,7000.0,,,,
PED-0370,,,aMriana González,Mocha,2.0,10800.0,Nequi,Medellín,5,
PED-0371,,14:16:00,Puala Gutiérrez,Cold brew,1.0,11000.0,Nequi,Cartagena,5,extra caliente
,,09:32:00,Camlia López,Cappuccino,5.0,5300.0,Efectivo,BOGOTA,,
,,,iDego López,Chocolate caliente,3.0,17600.0,tarjeta débito,BOGOTA,5,para llevar
PED-0374,,,Naatlia López,Frappé,1.0,13400.0,,Cartagena,2,doble shot
PED-0375,,,,Americano,5.0,17800.0,,Cali,3,para llevar
PED-0376,,,nAa Jiménez,Chocolate caliente,1.0,17900.0,tarjeta débito,Cartagena,4,
PED-0377,,,Alejandro Ortiz,Espresso,5.0,,Efectivo,,5,
PED-0378,,14:09:00,aPula Gutiérrez,Americano,4.0,12300.0,,Medellín,4,doble shot
PED-0379,,,Lius Pérez,Mocha,5.0,10500.0,Tarjeta,BOGOTA,1,extra caliente
PED-0380,,,Paual Flores,,,14000.0,,BOGOTA,,sin azúcar
PED-0381,,09:50:00,Larua González,Machiato,2.0,5000.0,transferencia,Cartagena,5,
PED-0382,,,Aan Torres,Chocolate caliente,1.0,17400.0,tarjeta débito,Medellín,4,
PED-0383,,,Camial López,Americano,3.0,5100.0,DaviPlata,Pereira,5,extra caliente
PED-0384,,,oSfía Torres,Americano,3.0,16800.0,tarjeta débito,Medellín,5,sin azúcar
PED-0385,,,nAdrés Torres,Latte,1.0,14000.0,,Barranquilla,,
PED-0386,,,Valenitna Rodríguez,,3.0,11700.0,Nequi,Cartagena,3,
PED-0387,,19:55:00,Isabelal Vargas,Latte,2.0,15800.0,Efectivo,Cartagena,,
PED-0388,,,,Latte,1.0,5500.0,transferencia,,,para llevar
PED-0389,,,uLis Flores,,2.0,11600.0,,Medellín,3,doble shot
PED-0390,,,nAdrés Ramos,Machiato,,13100.0,transferencia,Cali,1,doble shot
,,21:55:00,nAa Ortiz,Machiato,4.0,14900.0,transferencia,BOGOTA,,
PED-0392,,23:28:00,Maraí Jiménez,Chocolate caliente,4.0,14000.0,Efectivo,,3,caliente porfavor
PED-0393,,,Feilpe Martínez,Americano,4.0,17100.0,,Cartagena,4,sin azúcar
PED-0394,,07:20:00,Andrsé García,Cold brew,5.0,,Nequi,,2,para llevar
PED-0395,,,Calros Torres,Té verde,,13500.0,Tarjeta,,,muy rico!
PED-0396,,10:19:00,Fleipe Ramos,Latte,2.0,7000.0,DaviPlata,Medellín,2,
PED-0397,,07:22:00,Anrdés Ortiz,Cold brew,,9300.0,DaviPlata,Cartagena,5,
PED-0398,,,Caimla Pérez,,5.0,7000.0,,Barranquilla,3,caliente porfavor
PED-0399,,18:37:00,Valnetina Ramos,Cold brew,2.0,9500.0,Efectivo,Medellín,,
PED-0400,,23:54:00,aCmila Vargas,Espresso,3.0,,,Cartagena,5,extra caliente
PED-0401,,,Carlso Gutiérrez,Latte,4.0,14800.0,Nequi,Medellín,3,sin lactosa
PED-0402,,,Maraí García,Chocolate caliente,1.0,13300.0,,Barranquilla,3,
PED-0403,,,David Torres,Cappuccino,3.0,,Efectivo,Medellín,4,
PED-0404,,07:38:00,Diego Ramírez,Cold brew,4.0,16500.0,,Medellín,4,sin azúcar
PED-0405,,08:21:00,Cralos Torres,,5.0,15600.0,tarjeta débito,,5,
PED-0406,,07:38:00,eFlipe Morales,Mocha,5.0,16000.0,transferencia,,3,
PED-0407,,,Seabstián Muñoz,Té verde,1.0,4700.0,Nequi,Medellín,4,caliente porfavor
PED-0408,,,Isabella Vargas,Machiato,1.0,12100.0,tarjeta débito,,,doble shot
PED-0409,,,Dieog Muñoz,Americano,2.0,12200.0,Nequi,Medellín,3,
,,,,Té verde,4.0,,tarjeta débito,,4,sin lactosa
,,20:15:00,Maíra Pérez,,4.0,16300.0,Efectivo,Barranquilla,2,
PED-0412,,18:53:00,Diego Ortiz,,,10100.0,transferencia,,1,caliente porfavor
PED-0413,,04:18:00,Feliep Torres,Latte,2.0,13400.0,,BOGOTA,3,extra caliente
PED-0414,,13:01:00,aDvid Torres,Mocha,3.0,6600.0,tarjeta débito,Cali,4,para llevar
PED-0415,,,Mraía Jiménez,Espresso,5.0,8700.0,Efectivo,Pereira,4,muy rico!
PED-0416,,11:44:00,Seabstián Martínez,Americano,3.0,,DaviPlata,BOGOTA,1,muy rico!
,,20:05:00,Andrsé Vargas,Espresso,5.0,7300.0,Tarjeta,Cartagena,4,muy rico!
PED-0418,,,Valentian González,Americano,5.0,12800.0,Efectivo,Pereira,3,
PED-0419,,,Mraiana Ramos,Espresso,,10300.0,tarjeta débito,Cali,4,muy rico!
PED-0420,,05:53:00,,,3.0,17700.0,tarjeta débito,Cali,3,doble shot
PED-0421,,,Juna Vargas,Mocha,1.0,7200.0,Efectivo,Barranquilla,,sin lactosa
PED-0422,,,,Cold brew,2.0,12700.0,transferencia,Medellín,4,
PED-0423,,12:43:00,Cralos González,Espresso,1.0,13900.0,Efectivo,Medellín,3,
PED-0424,,,Lusi Muñoz,Frappé,,,tarjeta débito,Cartagena,3,
,,,Juna Muñoz,Espresso,,13200.0,Efectivo,,4,sin lactosa
,,,aCmila Rodríguez,Espresso,2.0,5900.0,,,1,muy rico!
PED-0427,,,Lusi Jiménez,Cold brew,4.0,7300.0,,Barranquilla,1,muy rico!
PED-0428,,,,Latte,3.0,,transferencia,Barranquilla,3,extra caliente
,,,,,2.0,11500.0,tarjeta débito,Pereira,2,extra caliente
PED-0430,,,Camial González,Latte,1.0,7500.0,DaviPlata,Pereira,3,sin lactosa
PED-0431,,,Jogre Morales,Espresso,2.0,14500.0,Efectivo,Barranquilla,,
PED-0432,,,Feliep Herrera,Americano,,13100.0,,Cartagena,3,caliente porfavor
PED-0433,,17:19:00,Lusi Pérez,Té verde,5.0,15100.0,DaviPlata,,,
PED-0434,,11:40:00,Joreg Sánchez,Americano,3.0,15000.0,transferencia,Pereira,1,
PED-0435,,11:48:00,Deigo Morales,Cold brew,4.0,14200.0,Tarjeta,Medellín,,
,,20:19:00,Seabstián López,Chocolate caliente,1.0,12400.0,transferencia,Medellín,5,
,,09:53:00,Maíra Torres,Mocha,1.0,10200.0,transferencia,,4,
PED-0438,,,Camial Gutiérrez,Cold brew,2.0,7500.0,Efectivo,Cartagena,3,caliente porfavor
PED-0439,,06:46:00,Caimla Ramírez,Machiato,,9900.0,transferencia,Cali,4,sin azúcar
PED-0440,,08:40:00,Paual Sánchez,Frappé,3.0,14700.0,,Cali,3,
PED-0441,,,Camlia Rodríguez,Té verde,,12400.0,transferencia,BOGOTA,5,muy rico!
PED-0442,,,Isablela Ramos,Americano,4.0,7800.0,tarjeta débito,Barranquilla,1,
PED-0443,,22:45:00,Mraiana Jiménez,Té verde,3.0,9400.0,DaviPlata,,,para llevar
PED-0444,,,Carlso Vargas,Cold brew,5.0,,tarjeta débito,Cartagena,1,muy rico!
,,08:39:00,Adnrés Gutiérrez,Mocha,3.0,15300.0,Efectivo,Cartagena,5,caliente porfavor
PED-0446,,14:31:00,Soífa López,Té verde,,9900.0,Efectivo,Medellín,4,
PED-0447,,,Jogre Ramos,Cappuccino,,4500.0,Nequi,,4,sin azúcar
PED-0448,,04:29:00,,Cappuccino,5.0,15200.0,,,,para llevar
PED-0449,,,Valentnia Díaz,,4.0,16800.0,Tarjeta,Cartagena,1,extra caliente
PED-0450,,,,Mocha,4.0,14900.0,Nequi,Medellín,5,
,,,uJan Díaz,Latte,4.0,16500.0,Efectivo,,5,caliente porfavor
PED-0452,,06:02:00,,Mocha,4.0,14100.0,Nequi,Cali,3,sin azúcar
PED-0453,,,Lusi López,Mocha,4.0,8400.0,Nequi,Medellín,5,
PED-0454,,15:32:00,,Frappé,2.0,,transferencia,Cali,5,doble shot
PED-0455,,07:52:00,oSfía Ramos,Té verde,,5400.0,tarjeta débito,,5,
PED-0456,,17:47:00,Aan Morales,Americano,4.0,9200.0,tarjeta débito,BOGOTA,2,
PED-0457,,12:55:00,Sebastáin Jiménez,Chocolate caliente,4.0,10700.0,Tarjeta,Cartagena,4,
PED-0458,,10:41:00,Joreg Herrera,Machiato,,7400.0,,,3,sin lactosa
PED-0459,,,Sebastiná Herrera,,1.0,,Nequi,Cali,1,extra caliente
PED-0460,,18:30:00,Daivd Muñoz,Latte,5.0,10000.0,,,3,
PED-0461,,,Marinaa Morales,Té verde,1.0,5400.0,transferencia,Medellín,4,extra caliente
PED-0462,,06:19:00,iDego Torres,Espresso,1.0,14000.0,tarjeta débito,BOGOTA,,
PED-0463,,,uLis García,Té verde,3.0,11100.0,Tarjeta,Cartagena,1,
PED-0464,,22:12:00,Luara Vargas,Té verde,1.0,5300.0,Efectivo,,1,
PED-0465,,15:38:00,Naatlia Jiménez,Espresso,2.0,16400.0,transferencia,,5,extra caliente
PED-0466,,,Camlia Jiménez,Latte,4.0,14400.0,DaviPlata,,1,
PED-0467,,16:24:00,Carols Pérez,Té verde,4.0,10700.0,Efectivo,Cali,4,
PED-0468,,,Jroge Ortiz,Americano,1.0,6600.0,Efectivo,Cali,3,
PED-0469,,12:20:00,Juna Vargas,Mocha,5.0,6100.0,Efectivo,Cali,4,para llevar
PED-0470,,,eFlipe Muñoz,Machiato,2.0,12700.0,Nequi,Medellín,,sin azúcar
PED-0471,,,Alejnadro Ramírez,Americano,1.0,15600.0,Efectivo,,4,
PED-0472,,,Jogre García,Cappuccino,1.0,,Efectivo,Barranquilla,2,sin lactosa
PED-0473,,,oSfía Jiménez,Chocolate caliente,3.0,8900.0,Tarjeta,,4,
,,,Jroge Ortiz,Chocolate caliente,4.0,,,Medellín,,doble shot
PED-0475,,06:58:00,Isbaella Ortiz,Chocolate caliente,,,transferencia,BOGOTA,,extra caliente
,,03:53:00,,Chocolate caliente,1.0,10600.0,transferencia,Medellín,5,
PED-0477,,,,,2.0,7300.0,,,3,sin lactosa
PED-0478,,12:07:00,,Latte,1.0,13200.0,transferencia,,,sin lactosa
,,,Adnrés Muñoz,,,,tarjeta débito,Cartagena,4,sin azúcar
PED-0480,,18:23:00,Joreg Castro,,3.0,12600.0,transferencia,BOGOTA,2,
PED-0481,,12:52:00,,Cold brew,4.0,16100.0,Efectivo,BOGOTA,,para llevar
PED-0482,,22:51:00,Valnetina Díaz,Té verde,5.0,11600.0,,Medellín,4,extra caliente
,,,Marinaa Martínez,Americano,2.0,,,Cartagena,1,
PED-0484,,09:29:00,aLura Herrera,Chocolate caliente,5.0,10200.0,DaviPlata,,4,
PED-0485,,,Vaelntina Martínez,,5.0,15000.0,Nequi,BOGOTA,5,doble shot
PED-0486,,,Marinaa García,Cold brew,,15000.0,Efectivo,BOGOTA,,para llevar
PED-0487,,,Camial Torres,Latte,4.0,8300.0,,Medellín,,
,,12:12:00,Mraía Díaz,Espresso,3.0,,Tarjeta,Cali,,doble shot
PED-0489,,,Dieog Gutiérrez,Espresso,1.0,,,Pereira,3,
PED-0490,,02:29:00,Valenitna Flores,Espresso,2.0,8400.0,Nequi,BOGOTA,1,
PED-0491,,15:12:00,Feilpe Gutiérrez,Té verde,5.0,13000.0,Nequi,Medellín,4,caliente porfavor
PED-0492,,,Davdi Castro,,5.0,7300.0,Tarjeta,Pereira,1,doble shot
PED-0493,,21:27:00,,Cappuccino,1.0,17100.0,transferencia,BOGOTA,5,doble shot
PED-0494,,,uJan Pérez,Chocolate caliente,,,Efectivo,BOGOTA,,doble shot
PED-0495,,19:37:00,Adnrés González,Machiato,3.0,6200.0,Nequi,Barranquilla,2,para llevar
PED-0496,,08:38:00,Deigo Sánchez,Chocolate caliente,1.0,8200.0,transferencia,Barranquilla,5,sin azúcar
,,,Felpie Pérez,Cold brew,1.0,12100.0,DaviPlata,Barranquilla,5,
PED-0498,,,aMriana Ramos,Americano,1.0,6600.0,Nequi,Cartagena,,doble shot
PED-0499,,,Feliep García,Espresso,,17500.0,,Cali,5,para llevar
PED-0500,,20:33:00,Isablela Díaz,Americano,5.0,12200.0,Efectivo,,5,
